gene,genotype,experiment,AreaSum,Label,image,Area,Perim.,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,MinThr,MaxThr,BX,BY,Width,Height,Kurt,X.Area
cacnb4a,control,expt2,198491,74.5,NA,1341.155405,135.5604865,0.757445946,47.19634459,906.0878378,679.6959459,96.11921622,32.85603378,1.413945946,0.731513514,0.945939189,0,65535,NA,NA,NA,NA,NA,NA
cacnb4a,control,expt2,9964,13,NA,398.56,64.99052,0.81876,22.68936,1297.56,614.8,93.43392,16.76728,1.34348,0.76096,0.9686,0,65535,NA,NA,NA,NA,NA,NA
cacnb4a,control,expt2,1048,9.5,NA,58.22222222,27.31694444,0.7585,9.948722222,1072.055556,543.9444444,84.28533333,6.568555556,1.552722222,0.666944444,0.946055556,0,65535,NA,NA,NA,NA,NA,NA
cacnb4a,control,expt2,16,1,NA,16,14.828,0.914,5,1566,590,126.87,4,1,1,1.067,0,65535,NA,NA,NA,NA,NA,NA
cacnb4a,control,expt2,15017,32.5,NA,234.640625,44.08525,0.764296875,15.38123438,1117.28125,614.796875,83.0088125,11.22551563,1.339734375,0.769921875,0.930171875,0,65535,NA,NA,NA,NA,NA,NA
cacnb4a,control,expt2,4457,16.5,NA,139.28125,39.1586875,0.76321875,13.7933125,1131.78125,516.21875,87.0964375,9.7303125,1.35965625,0.76134375,0.93328125,0,65535,NA,NA,NA,NA,NA,NA
cacnb4a,control,expt2,714,4.5,NA,89.25,34.861625,0.772,12.788875,1008.5,658,68.54875,8.602875,1.42475,0.72175,0.936625,0,65535,NA,NA,NA,NA,NA,NA
foxp1b,control,expt1,3339.254,4.5,NA,417.40675,70.396625,0.74525,24.77925,1235,474.5,71.77975,18.0385,1.445875,0.714125,0.94225,0,65535,1744.58325,655.788,20.686875,19.9795,-0.14425,100
foxp1b,control,expt1,130660.744,45,NA,1468.098247,143.7225056,0.736067416,50.41750562,1067.134831,618.9213483,92.77906742,34.02321348,1.508808989,0.69611236,0.932775281,0,65535,1510.163506,858.5494831,42.25089888,40.2268427,0.039662921,100
foxp1b,control,expt1,261340.896,59,NA,2233.682872,178.6847009,0.763111111,61.87383761,1090.649573,564.3247863,96.91428205,43.98448718,1.405,0.727350427,0.94274359,0,65535,1544.319282,777.3057692,51.53282906,53.03971795,0.863811966,100
foxp1b,control,expt1,72865.098,28,NA,1324.819964,131.8613091,0.741127273,46.9206,932.2363636,720.5818182,97.15418182,31.71552727,1.513074074,0.692555556,0.934545455,0,65535,1324.101745,1007.818709,40.85047273,34.72272727,-0.013074074,100
foxp1b,control,expt1,259417.86,69.5,NA,1879.839565,165.5038478,0.7245,57.64457971,971.7391304,684.4637681,105.4805,40.1232971,1.465717391,0.716449275,0.92392029,0,65535,1378.508529,952.3873261,49.06976812,46.75110145,0.300601449,100
foxp1b,control,expt1,234337.501,45,NA,2633.005629,197.0710449,0.754044944,69.15060674,1023.865169,594.3707865,94.03332584,47.49344944,1.46841573,0.711449438,0.942539326,0,65535,1452.147809,818.0403483,59.83649438,54.43583146,0.36811236,100
foxp1b,control,expt1,119816.716,35.5,NA,1711.667371,152.2177714,0.731071429,53.6046,1173.671429,550.6285714,109.8114714,36.11578571,1.540585714,0.698828571,0.931071429,0,65535,1665.462686,760.3091571,44.26524286,43.04617143,0.524753623,100
foxp1b,control,expt1,43226.873,18,NA,1235.053514,127.7382857,0.726228571,45.88611429,1166.942857,633.7428571,96.08525714,29.14171429,1.644714286,0.6548,0.930085714,0,65535,1657.458886,884.8977429,38.43497143,35.30625714,-0.557828571,100
foxp1b,control,expt1,312623.398,47.5,NA,3325.78083,215.7096277,0.724117021,75.11760638,973.3617021,575.4255319,100.4041064,51.71926596,1.546223404,0.6805,0.931893617,0,65535,1371.548213,784.4490957,64.91556383,60.11531915,0.206425532,100
foxp1b,control,expt1,212605.843,43.5,NA,2472.160965,185.3754186,0.750639535,65.22052326,1092.046512,552.4651163,103.1038023,44.62105814,1.487465116,0.708104651,0.946895349,0,65535,1541.486279,758.3746279,55.51011628,50.87188372,0.151965116,100
foxp1b,control,expt1,110001.309,43,NA,1294.133047,126.0398471,0.719929412,44.84102353,1160.282353,697.6,102.2078118,30.11569412,1.564447059,0.673835294,0.932188235,0,65535,1639.081824,973.378,37.75821176,34.6464,0.02125,100
foxp1b,control,expt1,308725.936,64,NA,2430.912882,184.9767165,0.745173228,64.80126772,1072.393701,607.511811,94.71031496,44.6771811,1.465637795,0.717661417,0.934606299,0,65535,1512.479181,830.7559764,54.81944882,52.6363937,0.570590551,100
foxp1b,control,expt1,152457.251,53.5,NA,1438.275953,144.1894811,0.731528302,51.23722642,1016.349057,649.2075472,102.1594717,34.45932075,1.511556604,0.69204717,0.932537736,0,65535,1434.882349,899.8356132,43.72875472,39.75218868,0.154490566,100
foxp1b,control,expt1,507832.704,74,NA,3454.644245,233.7952041,0.714687075,81.42514966,1005.210884,407.3809524,93.01504762,55.46585034,1.49837415,0.691768707,0.920210884,0,65535,1414.825565,539.9461429,67.49086395,67.44272789,0.610360544,100
foxp1b,control,expt1,326556,94,NA,1746.28877,164.8597326,0.718855615,57.20020321,1886.390374,449.459893,102.7670909,39.75307487,1.47997861,0.711160428,0.919818182,0,65535,1881.59893,426.9304813,47.99465241,47.86096257,0.64422043,100
foxp1b,control,expt1,40695.282,20.5,NA,1017.38205,105.74945,0.7779,36.7833,1165.375,595.55,121.852925,26.678275,1.400775,0.75525,0.957625,0,65535,1645.357575,831.18335,30.835575,30.517375,-0.240475,100
foxp1b,control,expt1,161136.513,39.5,NA,2065.852731,172.4649359,0.724179487,60.58508974,1082.807692,463.9102564,102.1875128,41.2615641,1.524269231,0.697461538,0.926179487,0,65535,1527.927667,636.2255128,52.51705128,47.45752564,-0.005923077,100
foxp1b,control,expt1,263610.992,57.5,NA,2312.377123,189.2405965,0.724982456,66.18624561,1023.789474,479.8596491,105.8230351,45.04518421,1.485815789,0.701131579,0.925096491,0,65535,1443.128588,658.3035526,55.0530614,54.54428947,0.178921053,100
foxp1b,control,expt1,232601.347,49,NA,2397.952031,184.2858247,0.739402062,64.28615464,1007.195876,539.8556701,88.09509278,44.47517526,1.475391753,0.710474227,0.932917526,0,65535,1419.043454,735.9812268,52.93363918,53.45863918,-0.015597938,100
foxp1b,control,expt1,291467.452,71,NA,2067.14505,175.0539504,0.72712766,61.22600709,1117.794326,610.7234043,95.65358865,42.03334043,1.508007092,0.697758865,0.924390071,0,65535,1575.790021,837.9534894,50.51997872,51.13192199,0.677141844,100
foxp1b,control,expt1,119841.009,48,NA,1261.484305,132.1001053,0.733810526,46.61473684,1222.221053,538.1263158,86.16725263,31.86851579,1.482010526,0.704526316,0.939031579,0,65535,1725.336989,738.0305579,37.92290526,38.31007368,-0.168052632,100
foxp1b,control,expt1,234.088,1,NA,234.088,73.612,0.543,26.005,1338,517,157.62,14.145,1.801,0.555,0.867,0,65535,1892.573,729.871,25.461,14.145,-0.164,100
foxp1b,control,expt1,288088.186,69.5,NA,2087.595551,180.5455362,0.724623188,62.83227536,1151.210145,512.1956522,96.10814493,43.45894928,1.449884058,0.717630435,0.924094203,0,65535,1622.930348,698.4862174,50.47025362,53.58622464,0.850746377,100
foxp1b,control,expt1,161470.637,57.5,NA,1416.409096,141.9297281,0.73145614,50.60208772,1126.114035,515.4649123,99.7310614,33.72124561,1.571403509,0.67595614,0.93777193,0,65535,1589.837386,710.8254123,41.81403509,40.07691228,0.043605263,100
foxp1b,control,expt1,181930,71,NA,1290.283688,135.1480993,0.759780142,47.03499291,1641.64539,796.4822695,98.32956028,33.31707801,1.423453901,0.72929078,0.941971631,0,65535,1637.553191,778.5886525,38.31914894,39.92907801,0.249198582,100
foxp1b,control,expt1,11359.878,23,NA,252.4417333,54.92631111,0.707733333,20.08528889,1143.333333,455.5111111,89.65148889,12.33742222,1.618333333,0.662622222,0.936444444,0,65535,1621.139644,638.1168667,16.45402222,14.31062222,-0.3748,100
foxp1b,control,expt1,227090.957,63.5,NA,1802.309183,161.631127,0.719571429,57.55448413,1162.849206,415.9206349,97.08468254,38.04028571,1.548722222,0.682190476,0.935761905,0,65535,1646.41296,567.4619444,48.44145238,44.95159524,0.261777778,100
foxp1b,control,expt1,291089,101,NA,1448.20398,140.3445821,0.713905473,49.09668159,1515,683.3233831,98.45993532,33.58802985,1.607293532,0.674751244,0.928238806,0,65535,1510.059701,664.0049751,39.30845771,42.2238806,0.487258706,100
