gene,genotype,experiment,droplet_count,mean_droplet_area,total_adipose_area,mean_feret,mean_circularity,mean_roundness,data_source
kazna,control,expt1,27.0,1130.248585,59903.175,38.98786792,0.787301887,0.761169811,morphology
kazna,control,expt1,20.5,1706.969075,68278.763,50.828825,0.786325,0.770475,morphology
kazna,control,expt1,30.5,2238.887133,134333.228,63.99558333,0.753833333,0.710683333,morphology
kazna,control,expt1,23.0,2305.398867,103742.949,59.37177778,0.791933333,0.779844444,morphology
kazna,control,expt1,47.0,2462.12657,228977.771,63.41833333,0.75188172,0.726215054,morphology
kazna,control,expt1,41.5,2594.001049,212708.086,67.39456098,0.750597561,0.735414634,morphology
kazna,control,expt1,30.0,3153.896424,186079.889,75.03538983,0.766101695,0.741372881,morphology
kazna,control,expt1,67.0,5624.49594,748057.96,103.057391,0.731150376,0.712278195,morphology
kazna,control,expt1,1.0,182.068,182.068,19.701,0.74,0.7,morphology
kazna,control,expt1,1.5,48.0185,96.037,11.5245,0.6795,0.665,morphology
kazna,control,expt1,2.0,56.688,170.064,10.81266667,0.750666667,0.772333333,morphology
kazna,control,expt1,2.5,38.5145,154.058,10.30625,0.63575,0.55075,morphology
kazna,control,expt1,19.0,328.1772973,12142.56,20.49445946,0.752054054,0.754918919,morphology
kazna,control,expt1,19.0,270.0596216,9992.206,19.90154054,0.774027027,0.775162162,morphology
kazna,control,expt1,16.0,500.8123871,15525.184,25.29993548,0.767903226,0.765419355,morphology
nav3,control,expt1,1.0,76.123,76.123,13.049,0.681,0.766,morphology
nav3,control,expt1,11.0,483.9277143,10162.482,25.53566667,0.773238095,0.724190476,morphology
nav3,control,expt1,30.5,715.9280333,42955.682,30.89983333,0.757616667,0.709916667,morphology
nav3,control,expt1,27.0,1130.248585,59903.175,38.98786792,0.787301887,0.761169811,morphology
nav3,control,expt1,20.5,1706.969075,68278.763,50.828825,0.786325,0.770475,morphology
nav3,control,expt1,30.5,2238.887133,134333.228,63.99558333,0.753833333,0.710683333,morphology
nav3,control,expt1,23.0,2305.398867,103742.949,59.37177778,0.791933333,0.779844444,morphology
nav3,control,expt1,47.0,2462.12657,228977.771,63.41833333,0.75188172,0.726215054,morphology
nav3,control,expt1,41.5,2594.001049,212708.086,67.39456098,0.750597561,0.735414634,morphology
nav3,control,expt1,30.0,3153.896424,186079.889,75.03538983,0.766101695,0.741372881,morphology
nav3,control,expt1,67.0,5624.49594,748057.96,103.057391,0.731150376,0.712278195,morphology
nav3,control,expt1,1.0,182.068,182.068,19.701,0.74,0.7,morphology
nav3,control,expt1,1.5,48.0185,96.037,11.5245,0.6795,0.665,morphology
nav3,control,expt1,2.0,56.688,170.064,10.81266667,0.750666667,0.772333333,morphology
nav3,control,expt1,2.5,38.5145,154.058,10.30625,0.63575,0.55075,morphology
nav3,control,expt1,19.0,328.1772973,12142.56,20.49445946,0.752054054,0.754918919,morphology
nav3,control,expt1,19.0,270.0596216,9992.206,19.90154054,0.774027027,0.775162162,morphology
nav3,control,expt1,16.0,500.8123871,15525.184,25.29993548,0.767903226,0.765419355,morphology
pard3ab,control,expt1,1.0,76.123,76.123,13.049,0.681,0.766,morphology
pard3ab,control,expt1,11.0,483.9277143,10162.482,25.53566667,0.773238095,0.724190476,morphology
pard3ab,control,expt1,30.5,715.9280333,42955.682,30.89983333,0.757616667,0.709916667,morphology
pard3ab,control,expt1,27.0,1130.248585,59903.175,38.98786792,0.787301887,0.761169811,morphology
pard3ab,control,expt1,20.5,1706.969075,68278.763,50.828825,0.786325,0.770475,morphology
pard3ab,control,expt1,30.5,2238.887133,134333.228,63.99558333,0.753833333,0.710683333,morphology
pard3ab,control,expt1,23.0,2305.398867,103742.949,59.37177778,0.791933333,0.779844444,morphology
pard3ab,control,expt1,47.0,2462.12657,228977.771,63.41833333,0.75188172,0.726215054,morphology
pard3ab,control,expt1,41.5,2594.001049,212708.086,67.39456098,0.750597561,0.735414634,morphology
pard3ab,control,expt1,30.0,3153.896424,186079.889,75.03538983,0.766101695,0.741372881,morphology
pard3ab,control,expt1,67.0,5624.49594,748057.96,103.057391,0.731150376,0.712278195,morphology
pard3ab,control,expt1,1.0,182.068,182.068,19.701,0.74,0.7,morphology
pard3ab,control,expt1,1.5,48.0185,96.037,11.5245,0.6795,0.665,morphology
pard3ab,control,expt1,2.0,56.688,170.064,10.81266667,0.750666667,0.772333333,morphology
pard3ab,control,expt1,2.5,38.5145,154.058,10.30625,0.63575,0.55075,morphology
pard3ab,control,expt1,19.0,328.1772973,12142.56,20.49445946,0.752054054,0.754918919,morphology
pard3ab,control,expt1,19.0,270.0596216,9992.206,19.90154054,0.774027027,0.775162162,morphology
pard3ab,control,expt1,16.0,500.8123871,15525.184,25.29993548,0.767903226,0.765419355,morphology
srpx,control,expt1,72.0,4459.861182,637760.149,90.79726573,0.736,0.698,morphology
srpx,control,expt1,42.5,2270.682179,190737.303,58.40561905,0.759119048,0.716797619,morphology
srpx,control,expt1,61.0,4126.377992,499291.737,88.00638017,0.74361157,0.716661157,morphology
srpx,control,expt1,80.0,3506.817528,557583.987,77.15443396,0.752616352,0.737081761,morphology
srpx,control,expt1,46.0,5710.636209,519667.895,100.8350989,0.739164835,0.728461538,morphology
srpx,control,expt1,1.5,96.8555,193.711,16.5645,0.5795,0.696,morphology
srpx,control,expt1,31.0,1307.553902,79760.788,46.01559016,0.780327869,0.731311475,morphology
srpx,control,expt1,23.0,1056.598556,47546.935,39.23128889,0.792288889,0.729888889,morphology
srpx,control,expt1,12.0,756.9556957,17409.981,30.46330435,0.813956522,0.781826087,morphology
srpx,control,expt1,18.0,1583.290686,55415.174,49.33154286,0.802057143,0.780914286,morphology
srpx,control,expt1,26.0,1685.917686,85981.802,51.97931373,0.773588235,0.761098039,morphology
srpx,control,expt1,17.5,719.7792353,24472.494,31.99205882,0.789029412,0.762176471,morphology
srpx,control,expt1,37.0,1812.14074,132286.274,51.56232877,0.777054795,0.774506849,morphology
cd81a,control,expt1,2.0,766.9546667,2300.864,35.53766667,0.841666667,0.786333333,morphology
cd81a,control,expt1,24.5,985.9119583,47323.774,35.07783333,0.778583333,0.763541667,morphology
cd81a,control,expt1,48.0,1718.013589,163211.291,50.72262105,0.759642105,0.749431579,morphology
cd81a,control,expt1,35.5,750.7350286,52551.452,30.15515714,0.771785714,0.737542857,morphology
cd81a,control,expt1,25.0,970.3863878,47548.933,37.72642857,0.778285714,0.749836735,morphology
cd81a,control,expt1,77.0,1321.336595,202164.499,42.45484314,0.764065359,0.737627451,morphology
cd81a,control,expt1,120.5,1621.720833,389213.0,52.94219167,0.745116667,0.71535,morphology
cd81a,control,expt1,2.0,1079.719333,3239.158,44.931,0.795,0.768666667,morphology
cd81a,control,expt1,1.5,1065.408,2130.816,37.7165,0.8205,0.6965,morphology
cd81a,control,expt1,1.0,85.872,85.872,12.64,0.843,0.853,morphology
cd81a,control,expt1,33.0,982.0166462,63831.082,35.41043077,0.7456,0.715523077,morphology
cd81a,control,expt2,31.5,1260.856629,78173.111,39.89846774,0.740983871,0.696306452,morphology
cd81a,control,expt2,18.0,94.33502857,3301.726,10.94297143,0.772114286,0.723028571,morphology
cd81a,control,expt2,7.0,59.29584615,770.846,8.966230769,0.725461538,0.695153846,morphology
cd81a,control,expt2,30.5,1446.937433,86816.246,45.505,0.746866667,0.72735,morphology
cd81a,control,expt2,25.5,1509.424,75471.2,44.79972,0.74578,0.72358,morphology
cd81a,control,expt2,68.0,1608.307378,217121.496,51.71678519,0.748377778,0.711585185,morphology
cd81a,control,expt2,46.5,1577.22962,145105.125,47.89988043,0.750880435,0.724923913,morphology
cd81a,control,expt2,31.5,1503.237145,93200.703,49.57183871,0.746887097,0.748274194,morphology
cd81a,control,expt2,88.5,1282.630682,225743.0,48.04909091,0.735801136,0.696982955,morphology
cd81a,control,expt2,5.0,54.585,491.265,9.728333333,0.609333333,0.800444444,morphology
cd81a,control,expt2,1.0,59.91,59.91,12.074,0.708,0.531,morphology
cd81a,control,expt2,1.0,267.6,267.6,25.476,0.752,0.644,morphology
cd81a,control,expt2,1.0,175.046,175.046,19.706,0.837,0.642,morphology
cd81a,mutant,expt1,1.0,12.005,12.005,7.072,0.503,0.418,morphology
cd81a,mutant,expt1,20.5,1562.1489,62485.956,49.189875,0.75535,0.7183,morphology
cd81a,mutant,expt1,91.0,2270.206155,410907.314,63.66639227,0.721966851,0.701977901,morphology
cd81a,mutant,expt1,32.0,2005.877238,126370.266,55.18577778,0.763428571,0.717126984,morphology
cd81a,mutant,expt1,78.0,2141.972806,332005.785,61.82412903,0.731296774,0.711135484,morphology
cd81a,mutant,expt1,59.0,1913.537709,223883.912,56.49244444,0.74117094,0.710188034,morphology
cd81a,mutant,expt1,1.0,54.02,54.02,11.404,0.707,0.759,morphology
cd81a,mutant,expt1,6.5,245.7590833,2949.109,18.50975,0.637916667,0.576083333,morphology
cd81a,mutant,expt1,14.5,273.9602143,7670.886,17.31514286,0.675714286,0.755464286,morphology
cd81a,mutant,expt1,10.5,296.0112,5920.224,19.35685,0.7886,0.71445,morphology
cd81a,mutant,expt1,67.0,2375.353451,315922.009,64.05219549,0.742766917,0.724571429,morphology
cd81a,mutant,expt1,7.5,637.8945,8930.523,29.10935714,0.770571429,0.769285714,morphology
cd81a,mutant,expt1,44.0,2342.534149,203800.471,60.85213793,0.746942529,0.708195402,morphology
cd81a,mutant,expt2,22.0,438.0894186,18837.845,22.55855814,0.803534884,0.788604651,morphology
cd81a,mutant,expt2,71.5,1592.705761,226164.218,48.55511268,0.772591549,0.767992958,morphology
cd81a,mutant,expt2,36.5,1386.395111,99820.448,43.95125,0.773958333,0.730111111,morphology
cd81a,mutant,expt2,53.0,1693.644381,177832.66,46.50124762,0.765095238,0.744761905,morphology
cd81a,mutant,expt2,19.5,352.1927105,13383.323,21.67368421,0.779578947,0.736657895,morphology
cd81a,mutant,expt2,1.5,378.4345,756.869,29.2525,0.727,0.626,morphology
cd81a,mutant,expt2,10.5,171.64345,3432.869,16.46855,0.77335,0.78385,morphology
cd81a,mutant,expt2,1.5,55.916,111.832,12.0165,0.6675,0.7455,morphology
cd81a,mutant,expt2,20.0,552.8968974,21562.979,25.36712821,0.778666667,0.774615385,morphology
cd81a,mutant,expt2,10.5,573.7306,11474.612,27.6918,0.759,0.73015,morphology
cd81a,mutant,expt2,69.0,1892.310642,259246.558,55.90749635,0.756226277,0.735576642,morphology
cd81a,mutant,expt2,15.5,789.0134,23670.402,34.65633333,0.776733333,0.761066667,morphology
cd81a,mutant,expt2,63.5,1460.194127,183984.46,47.65821429,0.741460317,0.721706349,morphology
cxcl14,control,expt1,28.5,2025.030464,113401.706,53.969125,0.768803571,0.741357143,morphology
cxcl14,control,expt1,74.0,2413.0,354711.0,62.50289116,0.737578231,0.689789116,morphology
cxcl14,control,expt1,110.5,2806.181818,617360.0,71.91023636,0.74155,0.728090909,morphology
cxcl14,control,expt1,21.5,1670.972238,70180.834,51.92854762,0.780428571,0.735690476,morphology
cxcl14,control,expt1,83.5,2122.457831,352328.0,56.44935542,0.750481928,0.709006024,morphology
cxcl14,control,expt1,31.5,5049.376323,313061.332,95.30725806,0.750854839,0.716258065,morphology
cxcl14,control,expt1,28.0,2422.406836,133232.376,59.70761818,0.797490909,0.772981818,morphology
cxcl14,control,expt1,42.5,1110.080702,93246.779,38.01444048,0.786797619,0.775892857,morphology
cxcl14,control,expt1,46.5,1571.941696,144618.636,47.38881522,0.757304348,0.728197802,morphology
cxcl14,control,expt1,42.5,1083.518976,91015.594,41.17791667,0.776190476,0.74277381,morphology
cxcl14,control,expt1,68.0,1516.792593,204767.0,49.56646667,0.753925926,0.705459259,morphology
cxcl14,control,expt1,54.0,2846.137028,304536.662,68.94349533,0.757009346,0.706850467,morphology
cxcl14,control,expt1,9.5,234.3733333,4218.72,16.53483333,0.738611111,0.692555556,morphology
cxcl14,control,expt1,11.5,600.915,13220.13,25.35863636,0.750363636,0.732409091,morphology
cxcl14,control,expt2,135.5,1061.592593,286630.0,36.45475185,0.785596296,0.738622222,morphology
cxcl14,control,expt2,1.5,13.0,26.0,5.657,0.659,0.6875,morphology
cxcl14,control,expt2,40.5,495.8625,39669.0,26.7399875,0.7653875,0.718275,morphology
cxcl14,control,expt2,1.0,39.0,39.0,10.296,0.645,0.578,morphology
cxcl14,control,expt2,42.5,775.3214286,65127.0,31.6444881,0.766785714,0.725607143,morphology
cxcl14,control,expt2,152.5,1448.315789,440288.0,48.49219408,0.737039474,0.697898026,morphology
cxcl14,control,expt2,127.0,1919.671937,485677.0,58.63306719,0.743592885,0.697150198,morphology
cxcl14,control,expt2,116.0,1030.493506,238044.0,37.26530303,0.761354978,0.718008658,morphology
cxcl14,control,expt2,81.0,1471.372671,236891.0,49.1226646,0.766801242,0.715863354,morphology
cxcl14,control,expt2,135.0,1698.356877,456858.0,52.72852416,0.75505948,0.711486989,morphology
cxcl14,control,expt2,79.5,1465.126582,231490.0,49.47082911,0.757050633,0.712993631,morphology
cxcl14,control,expt2,98.0,1468.189744,286297.0,49.98282051,0.7632,0.715005128,morphology
cxcl14,control,expt2,105.0,1666.789474,348359.0,54.6608134,0.760794258,0.715363636,morphology
cxcl14,mutant,expt1,69.0,2387.211679,327048.0,66.31689051,0.732554745,0.693218978,morphology
cxcl14,mutant,expt1,108.5,1800.810185,388975.0,53.69718056,0.747814815,0.723125,morphology
cxcl14,mutant,expt1,94.5,3378.526596,635163.0,80.60981915,0.726218085,0.684148936,morphology
cxcl14,mutant,expt1,75.0,689.2147651,102693.0,30.89197987,0.759275168,0.731724832,morphology
cxcl14,mutant,expt1,31.0,1359.901902,82954.016,38.92032787,0.736852459,0.696786885,morphology
cxcl14,mutant,expt1,77.0,1785.411765,273168.0,50.78364706,0.746470588,0.711176471,morphology
cxcl14,mutant,expt1,44.0,1521.942529,132409.0,48.58370115,0.736770115,0.70808046,morphology
