gene,genotype,experiment,value,measure
prrx1b,mutant,2.0,385.41031037598776,norm_adiposity
prrx1b,mutant,2.0,379.0833189243772,norm_adiposity
prrx1b,mutant,2.0,493.89611209339694,norm_adiposity
prrx1b,mutant,2.0,277.13065453693986,norm_adiposity
ptenb,control,1.0,167.4089997213187,norm_adiposity
ptenb,control,1.0,188.3992561609197,norm_adiposity
ptenb,control,1.0,295.6683440532115,norm_adiposity
ptenb,control,1.0,611.2315680017314,norm_adiposity
ptenb,control,1.0,787.9556595984659,norm_adiposity
ptenb,control,1.0,195.62915623352566,norm_adiposity
ptenb,control,1.0,393.07660298151444,norm_adiposity
ptenb,control,1.0,193.54489329845686,norm_adiposity
ptenb,control,1.0,182.73991658501276,norm_adiposity
ptenb,control,1.0,158.13510404471532,norm_adiposity
ptenb,control,1.0,241.8574955604352,norm_adiposity
ptenb,control,1.0,219.3469640369547,norm_adiposity
ptenb,control,1.0,348.58790489882415,norm_adiposity
ptenb,control,1.0,198.5986928867059,norm_adiposity
ptenb,mutant,1.0,443.6176337767826,norm_adiposity
ptenb,mutant,1.0,470.03948824279945,norm_adiposity
ptenb,mutant,1.0,520.2965025153089,norm_adiposity
ptenb,mutant,1.0,513.1089775151719,norm_adiposity
ptenb,mutant,1.0,218.548290305621,norm_adiposity
ptenb,mutant,1.0,238.90569559109963,norm_adiposity
ptenb,mutant,1.0,563.3967741908671,norm_adiposity
ptenb,mutant,1.0,478.4194841824683,norm_adiposity
ptenb,mutant,1.0,346.3946372905103,norm_adiposity
ptenb,mutant,1.0,353.4291030907496,norm_adiposity
ptenb,mutant,1.0,222.67065756090636,norm_adiposity
ptenb,mutant,1.0,115.40459299905685,norm_adiposity
ptenb,mutant,1.0,125.64110108186891,norm_adiposity
ptenb,mutant,1.0,284.4254465657701,norm_adiposity
pid1,control,1.0,167.4089997213187,norm_adiposity
pid1,control,1.0,188.3992561609197,norm_adiposity
pid1,control,1.0,295.6683440532115,norm_adiposity
pid1,control,1.0,611.2315680017314,norm_adiposity
pid1,control,1.0,787.9556595984659,norm_adiposity
pid1,control,1.0,195.62915623352566,norm_adiposity
pid1,control,1.0,393.07660298151444,norm_adiposity
pid1,control,1.0,193.54489329845686,norm_adiposity
pid1,control,1.0,182.73991658501276,norm_adiposity
pid1,control,1.0,158.13510404471532,norm_adiposity
pid1,control,1.0,241.8574955604352,norm_adiposity
pid1,control,1.0,219.3469640369547,norm_adiposity
pid1,control,1.0,348.58790489882415,norm_adiposity
pid1,control,1.0,198.5986928867059,norm_adiposity
pid1,mutant,1.0,168.48146573626715,norm_adiposity
pid1,mutant,1.0,200.70579718959334,norm_adiposity
pid1,mutant,1.0,212.0994044643107,norm_adiposity
pid1,mutant,1.0,243.4153053220833,norm_adiposity
pid1,mutant,1.0,244.2241812650439,norm_adiposity
pid1,mutant,1.0,424.48716541713975,norm_adiposity
pid1,mutant,1.0,541.5408403433928,norm_adiposity
pid1,mutant,1.0,467.0909938449249,norm_adiposity
pid1,mutant,1.0,433.1703799915614,norm_adiposity
pid1,mutant,1.0,317.50669595001614,norm_adiposity
pid1,mutant,1.0,320.17008546528865,norm_adiposity
pid1,mutant,1.0,466.4355253099379,norm_adiposity
cxcl14,control,1.0,167.4089997213187,norm_adiposity
cxcl14,control,1.0,188.3992561609197,norm_adiposity
cxcl14,control,1.0,295.6683440532115,norm_adiposity
cxcl14,control,1.0,611.2315680017314,norm_adiposity
cxcl14,control,1.0,787.9556595984659,norm_adiposity
cxcl14,control,1.0,195.62915623352566,norm_adiposity
cxcl14,control,1.0,393.07660298151444,norm_adiposity
cxcl14,control,1.0,193.54489329845686,norm_adiposity
cxcl14,control,1.0,182.73991658501276,norm_adiposity
cxcl14,control,1.0,158.13510404471532,norm_adiposity
cxcl14,control,1.0,241.8574955604352,norm_adiposity
cxcl14,control,1.0,219.3469640369547,norm_adiposity
cxcl14,control,1.0,348.58790489882415,norm_adiposity
cxcl14,control,1.0,198.5986928867059,norm_adiposity
cxcl14,mutant,1.0,525.57243270846,norm_adiposity
cxcl14,mutant,1.0,294.214705034225,norm_adiposity
cxcl14,mutant,1.0,278.01939567655694,norm_adiposity
cxcl14,mutant,1.0,589.6615528293221,norm_adiposity
cxcl14,mutant,1.0,348.31974136679787,norm_adiposity
cxcl14,mutant,1.0,275.91130561563983,norm_adiposity
cxcl14,mutant,1.0,533.9193554169568,norm_adiposity
cxcl14,mutant,1.0,440.2154117050153,norm_adiposity
cxcl14,mutant,1.0,434.1299129678662,norm_adiposity
cxcl14,mutant,1.0,472.7826955348566,norm_adiposity
cxcl14,mutant,1.0,676.3430974960974,norm_adiposity
lrmda,control,1.0,167.4089997213187,norm_adiposity
lrmda,control,1.0,188.3992561609197,norm_adiposity
lrmda,control,1.0,295.6683440532115,norm_adiposity
lrmda,control,1.0,611.2315680017314,norm_adiposity
lrmda,control,1.0,787.9556595984659,norm_adiposity
lrmda,control,1.0,195.62915623352566,norm_adiposity
lrmda,control,1.0,393.07660298151444,norm_adiposity
lrmda,control,1.0,193.54489329845686,norm_adiposity
lrmda,control,1.0,182.73991658501276,norm_adiposity
lrmda,control,1.0,158.13510404471532,norm_adiposity
lrmda,control,1.0,241.8574955604352,norm_adiposity
lrmda,control,1.0,219.3469640369547,norm_adiposity
lrmda,control,1.0,348.58790489882415,norm_adiposity
lrmda,control,1.0,198.5986928867059,norm_adiposity
lrmda,mutant,1.0,284.8634625949037,norm_adiposity
lrmda,mutant,1.0,276.33919685807496,norm_adiposity
lrmda,mutant,1.0,267.8693524294825,norm_adiposity
lrmda,mutant,1.0,191.30116731986985,norm_adiposity
lrmda,mutant,1.0,240.62165949037532,norm_adiposity
lrmda,mutant,1.0,580.3415630964588,norm_adiposity
lrmda,mutant,1.0,664.1402928910048,norm_adiposity
lrmda,mutant,1.0,654.5434398785693,norm_adiposity
lrmda,mutant,1.0,724.8999706307923,norm_adiposity
tmem115,control,1.0,167.4089997213187,norm_adiposity
tmem115,control,1.0,188.3992561609197,norm_adiposity
tmem115,control,1.0,295.6683440532115,norm_adiposity
tmem115,control,1.0,611.2315680017314,norm_adiposity
tmem115,control,1.0,787.9556595984659,norm_adiposity
tmem115,control,1.0,195.62915623352566,norm_adiposity
tmem115,control,1.0,393.07660298151444,norm_adiposity
tmem115,control,1.0,193.54489329845686,norm_adiposity
tmem115,control,1.0,182.73991658501276,norm_adiposity
